Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (Â°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2
methane,74-82-8,acetone,67-64-1,0.0153,50,0.9847,10.6,C,CC(=O)C
methane,74-82-8,acetone,67-64-1,0.0223,50,0.9777,15.0,C,CC(=O)C
methane,74-82-8,acetone,67-64-1,0.0341,50,0.9659,20.7,C,CC(=O)C
methane,74-82-8,acetone,67-64-1,0.0509,50,0.9491,30.7,C,CC(=O)C
methane,74-82-8,acetone,67-64-1,0.0725,50,0.9275,42.8,C,CC(=O)C
methane,74-82-8,acetone,67-64-1,0.0822,50,0.9178,50.0,C,CC(=O)C
methane,74-82-8,acetone,67-64-1,0.0994,50,0.9006,59.8,C,CC(=O)C
methane,74-82-8,acetone,67-64-1,0.12,50,0.88,70.5,C,CC(=O)C
methane,74-82-8,acetone,67-64-1,0.136,50,0.864,82.5,C,CC(=O)C
methane,74-82-8,benzene,71-43-2,0.106,20,0.894,49.03,C,C1=CC=CC=C1
methane,74-82-8,phenol,108-95-2,0.075,20,0.925,21.2,C,C1=CC=C(C=C1)O
methane,74-82-8,phenol,108-95-2,0.131,20,0.869,40.9,C,C1=CC=C(C=C1)O
methane,74-82-8,phenol,108-95-2,0.059,40,0.9410000000000001,20.2,C,C1=CC=C(C=C1)O
methane,74-82-8,phenol,108-95-2,0.12,40,0.88,40.9,C,C1=CC=C(C=C1)O
methane,74-82-8,dimethyl-ether,115-10-6,0.044,40,0.956,20.2,C,COC
methane,74-82-8,dimethyl-ether,115-10-6,0.083,40,0.917,30.3,C,COC
methane,74-82-8,dimethyl-ether,115-10-6,0.121,40,0.879,40.3,C,COC
methane,74-82-8,ethanol,64-17-5,0.0116,25,0.9884,6.41,C,CCO
methane,74-82-8,ethanol,64-17-5,0.0234,25,0.9766,25.37,C,CCO
methane,74-82-8,ethanol,64-17-5,0.053,25,0.947,43.16,C,CCO
methane,74-82-8,ethanol,64-17-5,0.0927,25,0.9073,80.94,C,CCO
methane,74-82-8,ethanol,64-17-5,0.1268,25,0.8732,113.56,C,CCO
methane,74-82-8,ethanol,64-17-5,0.027,40,0.973,23.9,C,CCO
methane,74-82-8,ethanol,64-17-5,0.046,40,0.954,40.2,C,CCO
methane,74-82-8,ethanol,64-17-5,0.061,40,0.9390000000000001,54.8,C,CCO
methane,74-82-8,ethanol,64-17-5,0.072,40,0.928,65.1,C,CCO
methane,74-82-8,ethanol,64-17-5,0.092,40,0.908,84.3,C,CCO
methane,74-82-8,ethanol,64-17-5,0.109,40,0.891,103.1,C,CCO
methane,74-82-8,ethanol,64-17-5,0.124,40,0.876,118.9,C,CCO
methane,74-82-8,n-butanol,71-36-3,0.021,30,0.979,10.6,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.039,30,0.961,21.0,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.056,30,0.944,31.2,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.071,30,0.929,40.8,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.087,30,0.913,50.9,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.102,30,0.898,60.7,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.02,50,0.98,10.5,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.035,50,0.965,20.7,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.048,50,0.952,29.8,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.065,50,0.935,40.3,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.079,50,0.921,50.2,C,CCCCO
methane,74-82-8,n-butanol,71-36-3,0.095,50,0.905,60.7,C,CCCCO
methane,74-82-8,n-heptane,142-82-5,0.05,27,0.95,10.8,C,CCCCCCC
methane,74-82-8,n-heptane,142-82-5,0.125,27,0.875,25.2,C,CCCCCCC
methane,74-82-8,n-heptane,142-82-5,0.064,38,0.9359999999999999,13.7895,C,CCCCCCC
methane,74-82-8,n-heptane,142-82-5,0.124,38,0.876,27.579,C,CCCCCCC
methane,74-82-8,n-hexane,110-54-3,0.0982,25,0.9018,20.5,C,CCCCCC
methane,74-82-8,n-hexane,110-54-3,0.0985,38,0.9015,21.5,C,CCCCCC
methane,74-82-8,propanol,71-23-8,0.036,40,0.964,21.65,C,CCCO
methane,74-82-8,propanol,71-23-8,0.059,40,0.9410000000000001,37.4,C,CCCO
methane,74-82-8,propanol,71-23-8,0.094,40,0.906,57.61,C,CCCO
methane,74-82-8,propanol,71-23-8,0.116,40,0.884,80.82,C,CCCO
methane,74-82-8,propanol,71-23-8,0.141,40,0.859,100.79,C,CCCO
methane,74-82-8,THF,109-99-9,0.0019,25,0.9981,1.01325,C,C1CCOC1
methane,74-82-8,THF,109-99-9,0.0413,25,0.9587,20.0,C,C1CCOC1
methane,74-82-8,THF,109-99-9,0.102,25,0.898,50.0,C,C1CCOC1
methane,74-82-8,toluene,108-88-3,0.073,20,0.927,32.64,C,CC1=CC=CC=C1
methane,74-82-8,toluene,108-88-3,0.087,20,0.913,39.33,C,CC1=CC=CC=C1
methane,74-82-8,toluene,108-88-3,0.106,20,0.894,47.73,C,CC1=CC=CC=C1
methane,74-82-8,toluene,108-88-3,0.026,40,0.974,11.7,C,CC1=CC=CC=C1
methane,74-82-8,toluene,108-88-3,0.055,40,0.945,23.8,C,CC1=CC=CC=C1
methane,74-82-8,toluene,108-88-3,0.071,40,0.929,31.4,C,CC1=CC=CC=C1
methane,74-82-8,toluene,108-88-3,0.099,40,0.901,44.4,C,CC1=CC=CC=C1
methane,74-82-8,toluene,108-88-3,0.12,40,0.88,55.3,C,CC1=CC=CC=C1
methane,74-82-8,toluene,108-88-3,0.136,40,0.864,63.0,C,CC1=CC=CC=C1
methane,74-82-8,toluene,108-88-3,0.15,40,0.85,70.8,C,CC1=CC=CC=C1
n2,7727-37-9,1-propanol,71-23-8,0.0004,25,0.9996,1.171,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0008,25,0.9992,1.953,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.001,25,0.999,2.671,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0013,25,0.9987,3.445,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.002,25,0.998,5.136,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0037,25,0.9963,9.415,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0054,25,0.9946,13.761,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0057,25,0.9943,14.446,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0102,25,0.9898,25.481,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0157,25,0.9843,39.068,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0209,25,0.9791,51.648,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0269,25,0.9731,66.036,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0324,25,0.9676,78.973,N#N,CCCO
n2,7727-37-9,1-propanol,71-23-8,0.0385,25,0.9615,92.95,N#N,CCCO
n2,7727-37-9,acetone,67-64-1,0.011,30,0.989,20.9,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.024,30,0.976,46.4,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.035,30,0.965,69.5,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.044,30,0.956,87.0,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.054,30,0.946,110.7,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.058,30,0.942,119.9,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.011,50,0.989,20.0,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.013,50,0.987,23.5,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.025,50,0.975,43.8,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.037,50,0.963,66.5,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.045,50,0.955,81.5,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.053,50,0.947,97.3,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.056,50,0.944,102.2,N#N,CC(=O)C
n2,7727-37-9,acetone,67-64-1,0.06,50,0.94,111.4,N#N,CC(=O)C
n2,7727-37-9,acetonitrile,75-05-8,0.0005,31,0.9995,1.6171,N#N,CC#N
n2,7727-37-9,acetonitrile,75-05-8,0.0014,31,0.9986,4.4944,N#N,CC#N
n2,7727-37-9,acetonitrile,75-05-8,0.0029,31,0.9971,9.1389,N#N,CC#N
n2,7727-37-9,acetonitrile,75-05-8,0.0048,31,0.9952,14.996,N#N,CC#N
n2,7727-37-9,acetonitrile,75-05-8,0.0071,31,0.9929,22.112,N#N,CC#N
n2,7727-37-9,acetonitrile,75-05-8,0.0099,31,0.9901,31.151,N#N,CC#N
n2,7727-37-9,benzene,71-43-2,0.0086,20,0.9914,20.74,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0106,20,0.9894,25.31,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0119,20,0.9881,28.32,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0131,20,0.9869,31.46,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0144,20,0.9856,34.67,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0086,30,0.9914,19.7,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0106,30,0.9894,24.09,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0119,30,0.9881,26.86,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0131,30,0.9869,29.72,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0144,30,0.9856,32.89,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0086,40,0.9914,18.85,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0106,40,0.9894,22.67,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0119,40,0.9881,25.38,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0131,40,0.9869,28.08,N#N,C1=CC=CC=C1
n2,7727-37-9,benzene,71-43-2,0.0144,40,0.9856,30.92,N#N,C1=CC=CC=C1
n2,7727-37-9,dimethyl ether,115-10-6,0.049,15,0.951,69.3,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.054,15,0.946,74.4,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.059,15,0.9410000000000001,79.6,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.06,15,0.94,84.8,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0096,25,0.9904,15.1,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0196,25,0.9804,23.4,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0294,25,0.9706,31.9,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0415,25,0.9585,41.7,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.055,25,0.945,52.6,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0667,25,0.9333,61.9,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0808,25,0.9192,72.3,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0935,25,0.9065,82.9,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.1038,25,0.8962,91.4,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.1178,25,0.8822,102.4,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0092,35,0.9908,16.5,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0174,35,0.9826,23.2,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0255,35,0.9745,30.7,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0385,35,0.9615,41.1,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0529,35,0.9471,52.6,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0706,35,0.9294,65.8,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0824,35,0.9176,73.1,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0947,35,0.9053,82.9,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.1112,35,0.8888,95.3,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.1243,35,0.8757,103.5,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0052,45,0.9948,15.0,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0121,45,0.9879,20.9,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.022,45,0.978,28.3,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0308,45,0.9692,34.9,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0384,45,0.9616,40.4,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0488,45,0.9512,49.0,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.063,45,0.937,58.9,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0812,45,0.9188000000000001,72.8,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.0969,45,0.9031,83.0,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.1116,45,0.8884,92.8,N#N,COC
n2,7727-37-9,dimethyl ether,115-10-6,0.1265,45,0.8734999999999999,102.1,N#N,COC
n2,7727-37-9,ethanol,64-17-5,0.0003,25,0.9997,0.849,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0005,25,0.9995,1.623,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0008,25,0.9992,2.295,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.001,25,0.999,3.028,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0014,25,0.9986,4.387,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0025,25,0.9975,7.589,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0039,25,0.9961,11.592,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0069,25,0.9931,20.333,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0123,25,0.9877,35.671,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0188,25,0.9812,54.153,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0259,25,0.9741,73.565,N#N,CCO
n2,7727-37-9,ethanol,64-17-5,0.0335,25,0.9665,93.637,N#N,CCO
n2,7727-37-9,ethyl acetate,141-78-6,0.0007,30,0.9993,1.3053,N#N,CCOC(=O)C
n2,7727-37-9,ethyl acetate,141-78-6,0.0021,30,0.9979,3.6202,N#N,CCOC(=O)C
n2,7727-37-9,ethyl acetate,141-78-6,0.0043,30,0.9957,7.4645,N#N,CCOC(=O)C
n2,7727-37-9,ethyl acetate,141-78-6,0.0073,30,0.9927,12.529,N#N,CCOC(=O)C
n2,7727-37-9,ethyl acetate,141-78-6,0.0109,30,0.9891,18.8,N#N,CCOC(=O)C
n2,7727-37-9,ethyl acetate,141-78-6,0.0153,30,0.9847,26.427,N#N,CCOC(=O)C
n2,7727-37-9,ethyl formate,109-94-4,0.0007,31,0.9993,1.5857,N#N,CCOC=O
n2,7727-37-9,ethyl formate,109-94-4,0.0021,31,0.9979,4.0457,N#N,CCOC=O
n2,7727-37-9,ethyl formate,109-94-4,0.0046,31,0.9954,8.253,N#N,CCOC=O
n2,7727-37-9,ethyl formate,109-94-4,0.0076,31,0.9924,13.474,N#N,CCOC=O
n2,7727-37-9,ethyl formate,109-94-4,0.0113,31,0.9887,20.023,N#N,CCOC=O
n2,7727-37-9,ethyl formate,109-94-4,0.0164,31,0.9836,29.204,N#N,CCOC=O
n2,7727-37-9,methyl formate,107-31-3,0.0004,30,0.9996,1.9245,N#N,COC=O
n2,7727-37-9,methyl formate,107-31-3,0.0015,30,0.9985,4.3089,N#N,COC=O
n2,7727-37-9,methyl formate,107-31-3,0.0034,30,0.9966,8.4072,N#N,COC=O
n2,7727-37-9,methyl formate,107-31-3,0.0058,30,0.9942,13.707,N#N,COC=O
n2,7727-37-9,methyl formate,107-31-3,0.0089,30,0.9911,20.444,N#N,COC=O
n2,7727-37-9,methyl formate,107-31-3,0.0127,30,0.9873,29.141,N#N,COC=O
n2,7727-37-9,m-xylene,108-38-3,0.061,40,0.9390000000000001,102.0,N#N,CC1=CC(=CC=C1)C
n2,7727-37-9,m-xylene,108-38-3,0.107,40,0.893,201.0,N#N,CC1=CC(=CC=C1)C
n2,7727-37-9,m-xylene,108-38-3,0.137,40,0.863,300.0,N#N,CC1=CC(=CC=C1)C
n2,7727-37-9,n-butyl acetate,123-86-4,0.0012,30,0.9988,1.4168,N#N,CCCCOC(=O)C
n2,7727-37-9,n-butyl acetate,123-86-4,0.0035,30,0.9965,4.1629,N#N,CCCCOC(=O)C
n2,7727-37-9,n-butyl acetate,123-86-4,0.0072,30,0.9928,8.622,N#N,CCCCOC(=O)C
n2,7727-37-9,n-butyl acetate,123-86-4,0.0112,30,0.9888,13.517,N#N,CCCCOC(=O)C
n2,7727-37-9,n-butyl acetate,123-86-4,0.017,30,0.983,20.687,N#N,CCCCOC(=O)C
n2,7727-37-9,n-butyl acetate,123-86-4,0.0237,30,0.9763,29.184,N#N,CCCCOC(=O)C
n2,7727-37-9,n-heptane,142-82-5,0.0255,40,0.9745,19.9,N#N,CCCCCCC
n2,7727-37-9,n-heptane,142-82-5,0.0482,40,0.9518,39.1,N#N,CCCCCCC
n2,7727-37-9,n-heptane,142-82-5,0.0817,40,0.9183,68.5,N#N,CCCCCCC
n2,7727-37-9,n-heptane,142-82-5,0.1205,40,0.8795,104.5,N#N,CCCCCCC
n2,7727-37-9,n-hexane,110-54-3,0.0003,30,0.9997,0.47367,N#N,CCCCCC
n2,7727-37-9,n-hexane,110-54-3,0.0017,30,0.9983,1.465,N#N,CCCCCC
n2,7727-37-9,n-hexane,110-54-3,0.0043,30,0.9957,3.3872,N#N,CCCCCC
n2,7727-37-9,n-hexane,110-54-3,0.0087,30,0.9913,6.5885,N#N,CCCCCC
n2,7727-37-9,n-hexane,110-54-3,0.0151,30,0.9849,11.323,N#N,CCCCCC
n2,7727-37-9,n-hexane,110-54-3,0.0223,30,0.9777,16.735,N#N,CCCCCC
n2,7727-37-9,n-hexane,110-54-3,0.0325,30,0.9675,24.454,N#N,CCCCCC
n2,7727-37-9,n-hexane,110-54-3,0.0452,30,0.9548,34.286,N#N,CCCCCC
n2,7727-37-9,n-propionaldehyde,123-38-6,0.013,20,0.987,25.0,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.025,20,0.975,50.0,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.038,20,0.962,75.0,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.051,20,0.949,100.0,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.064,20,0.9359999999999999,125.0,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.072,20,0.928,150.0,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.089,20,0.911,175.0,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.101,20,0.899,200.0,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0007,30,0.9993,1.7161,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.002,30,0.998,4.1685,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0045,30,0.9955,8.6081,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0071,30,0.9929,13.501,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0103,30,0.9897,19.428,N#N,CCC=O
n2,7727-37-9,n-propionaldehyde,123-38-6,0.0154,30,0.9846,28.838,N#N,CCC=O
n2,7727-37-9,phenol,108-95-2,0.0033,55,0.9967,40.3,N#N,C1=CC=C(C=C1)O
n2,7727-37-9,phenol,108-95-2,0.0068,55,0.9932,50.2,N#N,C1=CC=C(C=C1)O
n2,7727-37-9,phenol,108-95-2,0.009,55,0.991,60.4,N#N,C1=CC=C(C=C1)O
n2,7727-37-9,phenol,108-95-2,0.0105,55,0.9895,70.5,N#N,C1=CC=C(C=C1)O
n2,7727-37-9,phenol,108-95-2,0.0128,55,0.9872,80.3,N#N,C1=CC=C(C=C1)O
n2,7727-37-9,toluene,108-88-3,0.0009,30,0.9991,1.7265,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.0025,30,0.9975,4.7245,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.0049,30,0.9951,9.4249,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.0079,30,0.9921,15.268,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.0117,30,0.9883,22.713,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.0151,30,0.9849,29.495,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.056,40,0.944,102.0,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.097,40,0.903,200.0,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.128,40,0.872,303.0,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.018,50,0.982,36.4,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.032,50,0.968,70.4,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.062,50,0.938,141.7,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.088,50,0.912,211.7,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.109,50,0.891,277.5,N#N,CC1=CC=CC=C1
n2,7727-37-9,toluene,108-88-3,0.139,50,0.861,353.5,N#N,CC1=CC=CC=C1
